Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Apr-26
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,2,"5,800",70 to 80,800 to 900,Apr-26
CONCOURSE SKYLINE,BEACH ROAD,07,Non-Landed Properties,1,"4,500",70 to 80,800 to 900,Apr-26
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,4,"13,650",190 to 200,"2,100 to 2,200",Apr-26
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,10,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Apr-26
THE MILTONIA RESIDENCES,MILTONIA CLOSE,27,Non-Landed Properties,2,"3,550",80 to 90,800 to 900,Apr-26
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Apr-26
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,09,Non-Landed Properties,2,"5,400",90 to 100,"1,000 to 1,100",Apr-26
PARK INFINIA AT WEE NAM,LINCOLN ROAD,11,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Apr-26
JUI RESIDENCES,SERANGOON ROAD,12,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Apr-26
ONE BERNAM,BERNAM STREET,02,Non-Landed Properties,3,"10,350",130 to 140,"1,400 to 1,500",Apr-26
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,800",60 to 70,700 to 800,Apr-26
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Apr-26
LOFT @ NATHAN,NATHAN ROAD,10,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Apr-26
THE LAURELS,CAIRNHILL ROAD,09,Non-Landed Properties,3,"8,700",120 to 130,"1,300 to 1,400",Apr-26
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,4,"12,400",220 to 230,"2,400 to 2,500",Apr-26
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Apr-26
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Apr-26
LA CRYSTAL,KILLINEY ROAD,09,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,NA,"6,700",100 to 110,"1,100 to 1,200",Apr-26
THE BAYSHORE,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Apr-26
SOPHIA RESIDENCE,SOPHIA ROAD,09,Non-Landed Properties,3,"6,100",90 to 100,"1,000 to 1,100",Apr-26
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,650",60 to 70,600 to 700,Apr-26
NON-LANDED HOUSING DEVELOPMENT,CHANGI ROAD,14,Non-Landed Properties,NA,"4,200",100 to 110,"1,000 to 1,100",Apr-26
MIDTOWN MODERN,TAN QUEE LAN STREET,07,Non-Landed Properties,3,"8,800",90 to 100,"1,000 to 1,100",Apr-26
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,21,Non-Landed Properties,2,"3,950",60 to 70,700 to 800,Apr-26
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,2,"7,800",70 to 80,800 to 900,Apr-26
CUSCADEN RESIDENCES,CUSCADEN ROAD,10,Non-Landed Properties,2,"6,900",110 to 120,"1,200 to 1,300",Apr-26
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,900",70 to 80,800 to 900,Apr-26
NON-LANDED HOUSING DEVELOPMENT,RACE COURSE ROAD,08,Non-Landed Properties,1,"2,400",30 to 40,300 to 400,Apr-26
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Apr-26
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Apr-26
ONE JERVOIS,JERVOIS CLOSE,10,Non-Landed Properties,2,"5,700",90 to 100,"1,000 to 1,100",Apr-26
CASSIA EDGE,GUILLEMARD ROAD,14,Non-Landed Properties,1,"2,350",50 to 60,500 to 600,Apr-26
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,960",60 to 70,700 to 800,Apr-26
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"3,600",60 to 70,700 to 800,Apr-26
ONE OXLEY RISE,OXLEY RISE,09,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Apr-26
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,3,"6,150",100 to 110,"1,000 to 1,100",Apr-26
GAMBIR RIDGE,GAMBIR WALK,19,Non-Landed Properties,1,"3,000",60 to 70,700 to 800,Apr-26
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",Apr-26
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Apr-26
PARKSUITES,HOLLAND GROVE ROAD,10,Non-Landed Properties,1,"3,800",50 to 60,500 to 600,Apr-26
MIDTOWN BAY,BEACH ROAD,07,Non-Landed Properties,1,"4,400",40 to 50,400 to 500,Apr-26
URBAN VISTA,TANAH MERAH KECHIL LINK,16,Non-Landed Properties,2,"3,200",50 to 60,500 to 600,Apr-26
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"8,000",110 to 120,"1,100 to 1,200",Apr-26
ONE PEARL BANK,PEARL BANK,03,Non-Landed Properties,2,"5,500",80 to 90,800 to 900,Apr-26
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,2,"3,100",50 to 60,500 to 600,Apr-26
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"6,800",100 to 110,"1,100 to 1,200",Apr-26
THE JADE,BUKIT BATOK CENTRAL LINK,23,Non-Landed Properties,3,"5,100",120 to 130,"1,300 to 1,400",Apr-26
THE CORNWALL,CORNWALL GARDENS,10,Non-Landed Properties,3,"6,500",130 to 140,"1,400 to 1,500",Apr-26
EASTERN LAGOON,UPPER EAST COAST ROAD,15,Non-Landed Properties,2,"4,300",80 to 90,800 to 900,Apr-26
THE M,MIDDLE ROAD,07,Non-Landed Properties,NA,"3,900",30 to 40,400 to 500,Apr-26
SUN PLAZA,SEMBAWANG DRIVE,27,Non-Landed Properties,2,"3,500",90 to 100,"1,000 to 1,100",Apr-26
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"4,300",40 to 50,500 to 600,Apr-26
HIJAUAN,CAVENAGH ROAD,09,Non-Landed Properties,2,"4,800",70 to 80,700 to 800,Apr-26
ONE PEARL BANK,PEARL BANK,03,Non-Landed Properties,NA,"4,000",40 to 50,400 to 500,Apr-26
THE SEA VIEW,AMBER ROAD,15,Non-Landed Properties,3,"7,300",130 to 140,"1,400 to 1,500",Apr-26
REGENCY PARK,NATHAN ROAD,10,Non-Landed Properties,3,"9,500",210 to 220,"2,200 to 2,300",Apr-26
COASTARINA,EAST COAST ROAD,15,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",Apr-26
BOTANIC GARDENS MANSION,TAMAN SERASI,10,Non-Landed Properties,3,"6,500",160 to 170,"1,700 to 1,800",Apr-26
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,3,"8,900",150 to 160,"1,600 to 1,700",Apr-26
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,250",60 to 70,600 to 700,Apr-26
SOPHIA CREST,SOPHIA ROAD,09,Non-Landed Properties,3,"6,300",110 to 120,"1,200 to 1,300",Apr-26
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"6,100",80 to 90,"900 to 1,000",Apr-26
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,4,"9,000",140 to 150,"1,500 to 1,600",Apr-26
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,2,"5,200",60 to 70,700 to 800,Apr-26
NV RESIDENCES,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,600",80 to 90,"900 to 1,000",Apr-26
COSTA RHU,RHU CROSS,15,Non-Landed Properties,3,"7,400",150 to 160,"1,600 to 1,700",Apr-26
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Apr-26
MILLAGE,CHANGI ROAD,14,Non-Landed Properties,1,"2,900",30 to 40,400 to 500,Apr-26
VIBES@UPPER SERANGOON,UPPER SERANGOON ROAD,19,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
SCOTTS SQUARE,SCOTTS ROAD,09,Non-Landed Properties,1,"5,266",50 to 60,600 to 700,Apr-26
JOOL SUITES,SING JOO WALK,08,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,Apr-26
26 NEWTON,NEWTON ROAD,11,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Apr-26
PARKSHORE,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,400",120 to 130,"1,300 to 1,400",Apr-26
MIDTOWN MODERN,TAN QUEE LAN STREET,07,Non-Landed Properties,1,"4,800",40 to 50,400 to 500,Apr-26
PARC VISTA,CORPORATION ROAD,22,Non-Landed Properties,3,"4,650",110 to 120,"1,200 to 1,300",Apr-26
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,2,"4,050",50 to 60,600 to 700,Apr-26
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,3,"4,300",120 to 130,"1,300 to 1,400",Apr-26
GUILLEMARD EDGE,LORONG 30 GEYLANG,14,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,100",50 to 60,600 to 700,Apr-26
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"5,000",70 to 80,800 to 900,Apr-26
THE M,MIDDLE ROAD,07,Non-Landed Properties,2,"5,750",50 to 60,600 to 700,Apr-26
1919,SOPHIA ROAD,09,Non-Landed Properties,2,"5,000",80 to 90,800 to 900,Apr-26
THE COTZ,TELOK KURAU ROAD,15,Non-Landed Properties,NA,"2,400",30 to 40,300 to 400,Apr-26
NINE RESIDENCES,YISHUN AVENUE 9,27,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Apr-26
THE AZZURO,LORONG H TELOK KURAU,15,Non-Landed Properties,3,"4,500",100 to 110,"1,000 to 1,100",Apr-26
HILLSTA,PHOENIX ROAD,23,Non-Landed Properties,NA,"2,700",50 to 60,500 to 600,Apr-26
EMILY RESIDENCE,MOUNT EMILY ROAD,09,Non-Landed Properties,1,"4,400",110 to 120,"1,200 to 1,300",Apr-26
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,27,Non-Landed Properties,2,"3,350",80 to 90,"900 to 1,000",Apr-26
TRILIGHT,NEWTON ROAD,11,Non-Landed Properties,2,"6,800",100 to 110,"1,100 to 1,200",Apr-26
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,04,Non-Landed Properties,3,"9,700",110 to 120,"1,200 to 1,300",Apr-26
ATTITUDE AT KIM YAM,KIM YAM ROAD,09,Non-Landed Properties,NA,"3,000",30 to 40,300 to 400,Apr-26
THE PIER AT ROBERTSON,MOHAMED SULTAN ROAD,09,Non-Landed Properties,1,"4,900",60 to 70,700 to 800,Apr-26
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,200",50 to 60,500 to 600,Apr-26
BERKELEY RESIDENCES,LORONG N TELOK KURAU,15,Non-Landed Properties,3,"3,600",70 to 80,700 to 800,Apr-26
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
PARC ELEGANCE,TELOK KURAU ROAD,15,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Apr-26
MATTAR RESIDENCES,MATTAR ROAD,14,Non-Landed Properties,1,"2,850",50 to 60,500 to 600,Apr-26
CITY SUITES,BALESTIER ROAD,12,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Apr-26
NON-LANDED HOUSING DEVELOPMENT,LORONG 42 GEYLANG,14,Non-Landed Properties,NA,"3,650",80 to 90,"900 to 1,000",Apr-26
NON-LANDED HOUSING DEVELOPMENT,BALESTIER ROAD,12,Non-Landed Properties,NA,"4,000",130 to 140,"1,300 to 1,400",Apr-26
NON-LANDED HOUSING DEVELOPMENT,WESTERHOUT ROAD,14,Non-Landed Properties,NA,"8,000",120 to 130,"1,300 to 1,400",Apr-26
NON-LANDED HOUSING DEVELOPMENT,WESTERHOUT ROAD,14,Non-Landed Properties,NA,"8,500",100 to 110,"1,100 to 1,200",Apr-26
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,4,"5,300",110 to 120,"1,200 to 1,300",Apr-26
LEEDON RESIDENCE,LEEDON HEIGHTS,10,Non-Landed Properties,3,"12,000",190 to 200,"2,100 to 2,200",Apr-26
LUCIDA,SUFFOLK ROAD,11,Non-Landed Properties,2,"4,500",90 to 100,"1,000 to 1,100",Apr-26
PANDAN VALLEY,PANDAN VALLEY,21,Non-Landed Properties,3,"7,300",310 to 320,"3,300 to 3,400",Apr-26
SUNDANCE SUITES,DUKU PLACE,15,Non-Landed Properties,1,"3,500",50 to 60,600 to 700,Apr-26
VACANZA @ EAST,LENGKONG TUJOH,14,Non-Landed Properties,1,"2,550",40 to 50,400 to 500,Apr-26
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"6,000",80 to 90,"900 to 1,000",Apr-26
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,4,"6,250",140 to 150,"1,500 to 1,600",Apr-26
SUMMER GREEN,BOON TECK ROAD,12,Non-Landed Properties,3,"4,500",120 to 130,"1,200 to 1,300",Apr-26
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,000",120 to 130,"1,200 to 1,300",Apr-26
CENTRAL IMPERIAL,LORONG 14 GEYLANG,14,Non-Landed Properties,3,"3,800",70 to 80,700 to 800,Apr-26
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"9,300",140 to 150,"1,500 to 1,600",Apr-26
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,2,"3,400",80 to 90,800 to 900,Apr-26
KOPAR AT NEWTON,MAKEWAY AVENUE,09,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Apr-26
SKY EDEN@BEDOK,BEDOK CENTRAL,16,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Apr-26
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Apr-26
HULLET RISE,HULLET ROAD,09,Non-Landed Properties,3,"6,300",110 to 120,"1,200 to 1,300",Apr-26
GIFFARD MANSIONS,BALESTIER ROAD,12,Non-Landed Properties,4,"4,000",160 to 170,"1,700 to 1,800",Apr-26
ROBIN SUITES,ROBIN ROAD,10,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Apr-26
THE TESSARINA,WILBY ROAD,10,Non-Landed Properties,2,"4,450",90 to 100,"1,000 to 1,100",Apr-26
WING FONG COURT,LORONG 14 GEYLANG,14,Non-Landed Properties,2,"7,200",190 to 200,"2,100 to 2,200",Apr-26
ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,3,"3,800",100 to 110,"1,100 to 1,200",Apr-26
QUBE SUITES,JALAN PUNAI,14,Non-Landed Properties,2,"4,200",40 to 50,400 to 500,Apr-26
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"5,200",90 to 100,"1,000 to 1,100",Apr-26
GOODWOOD GARDENS,BALMORAL CRESCENT,10,Non-Landed Properties,2,"6,000",100 to 110,"1,000 to 1,100",Apr-26
8 NAPIER,NAPIER ROAD,10,Non-Landed Properties,3,"14,500",180 to 190,"2,000 to 2,100",Apr-26
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,3,"9,000",130 to 140,"1,400 to 1,500",Apr-26
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,2,"4,880",70 to 80,700 to 800,Apr-26
CHERRYHILL,LORONG LEW LIAN,19,Non-Landed Properties,2,"3,450",90 to 100,"1,000 to 1,100",Apr-26
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"6,300",110 to 120,"1,200 to 1,300",Apr-26
THE METZ,DEVONSHIRE ROAD,09,Non-Landed Properties,2,"7,500",90 to 100,"1,000 to 1,100",Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,400",90 to 100,"1,000 to 1,100",Apr-26
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,100",60 to 70,700 to 800,Apr-26
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"4,000",50 to 60,500 to 600,Apr-26
FORTE SUITES,MERGUI ROAD,08,Non-Landed Properties,2,"3,650",60 to 70,600 to 700,Apr-26
TURQUOISE,COVE DRIVE,04,Non-Landed Properties,3,"10,500",200 to 210,"2,100 to 2,200",Apr-26
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Apr-26
J C DRAYCOTT,DRAYCOTT DRIVE,10,Non-Landed Properties,3,"5,000",90 to 100,"1,000 to 1,100",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Apr-26
LE REGAL,GEYLANG ROAD,14,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,Apr-26
MONTEBLEU,MINBU ROAD,11,Non-Landed Properties,2,"4,100",70 to 80,800 to 900,Apr-26
SIGNATURE PARK,TOH TUCK ROAD,21,Non-Landed Properties,2,"3,500",90 to 100,"1,000 to 1,100",Apr-26
BOONVIEW,MARYMOUNT TERRACE,20,Non-Landed Properties,3,"4,200",120 to 130,"1,200 to 1,300",Apr-26
TRILIVE,TAMPINES ROAD,19,Non-Landed Properties,2,"3,200",50 to 60,500 to 600,Apr-26
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"5,000",50 to 60,500 to 600,Apr-26
RIS GRANDEUR,ELIAS ROAD,18,Non-Landed Properties,3,"3,500",120 to 130,"1,200 to 1,300",Apr-26
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,700",110 to 120,"1,200 to 1,300",Apr-26
KERRISDALE,STURDEE ROAD,08,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Apr-26
NIN RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"4,100",80 to 90,"900 to 1,000",Apr-26
PALM ISLES,FLORA DRIVE,17,Non-Landed Properties,3,"3,700",90 to 100,"900 to 1,000",Apr-26
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,27,Non-Landed Properties,2,"3,000",80 to 90,800 to 900,Apr-26
THE BLOSSOMVALE,DUNEARN ROAD,21,Non-Landed Properties,2,"4,150",70 to 80,800 to 900,Apr-26
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Apr-26
NOVENA LODGE,JALAN MERLIMAU,11,Non-Landed Properties,3,"4,200",90 to 100,"1,000 to 1,100",Apr-26
THE SCALA,SERANGOON AVENUE 3,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Apr-26
WATERBANK AT DAKOTA,DAKOTA CRESCENT,14,Non-Landed Properties,1,"4,100",50 to 60,600 to 700,Apr-26
THE CENTREPOINT,ORCHARD ROAD,09,Non-Landed Properties,2,"3,500",100 to 110,"1,100 to 1,200",Apr-26
ORANGE REGENCY,FERNHILL ROAD,10,Non-Landed Properties,NA,"7,600",150 to 160,"1,600 to 1,700",Apr-26
PINEWOOD GARDENS,BALMORAL PARK,10,Non-Landed Properties,NA,"6,350",150 to 160,"1,600 to 1,700",Apr-26
PEOPLE'S PARK COMPLEX,PARK ROAD,01,Non-Landed Properties,3,"2,949",100 to 110,"1,100 to 1,200",Apr-26
CYAN,KENG CHIN ROAD,10,Non-Landed Properties,4,"11,650",180 to 190,"1,900 to 2,000",Apr-26
STRATUM,ELIAS ROAD,18,Non-Landed Properties,3,"4,000",100 to 110,"1,000 to 1,100",Apr-26
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,1,"4,200",40 to 50,500 to 600,Apr-26
CARISSA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Apr-26
ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,3,"4,200",100 to 110,"1,100 to 1,200",Apr-26
GRAMERCY PARK,GRANGE ROAD,10,Non-Landed Properties,2,"8,200",110 to 120,"1,200 to 1,300",Apr-26
JADE RESIDENCES,LEW LIAN VALE,19,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,Apr-26
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,Apr-26
HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,23,Non-Landed Properties,2,"3,500",90 to 100,"900 to 1,000",Apr-26
ROBIN RESIDENCES,ROBIN DRIVE,10,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Apr-26
FINLAND GARDENS,EAST COAST TERRACE,15,Non-Landed Properties,4,"4,888",160 to 170,"1,800 to 1,900",Apr-26
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,900",70 to 80,800 to 900,Apr-26
RESIDENCES @ SOMME,PETAIN ROAD,08,Non-Landed Properties,1,"2,900",50 to 60,500 to 600,Apr-26
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,2,"4,600",80 to 90,800 to 900,Apr-26
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,3,"5,300",120 to 130,"1,200 to 1,300",Apr-26
RIDGEWOOD,MOUNT SINAI DRIVE,10,Non-Landed Properties,3,"5,000",160 to 170,"1,700 to 1,800",Apr-26
DAIRY FARM RESIDENCES,DAIRY FARM LANE,23,Non-Landed Properties,2,"3,850",60 to 70,700 to 800,Apr-26
IRWELL HILL RESIDENCES,IRWELL HILL,09,Non-Landed Properties,2,"5,300",60 to 70,600 to 700,Apr-26
STUDIOS @ MARNE,MARNE ROAD,08,Non-Landed Properties,NA,"3,300",50 to 60,500 to 600,Apr-26
THE WATERINA,LORONG 40 GEYLANG,14,Non-Landed Properties,3,"4,800",120 to 130,"1,300 to 1,400",Apr-26
PARC CENTROS,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Apr-26
THE GLYNDEBOURNE,TREVOSE CRESCENT,11,Non-Landed Properties,3,"7,800",130 to 140,"1,400 to 1,500",Apr-26
STUDIOS @ MARNE,MARNE ROAD,08,Non-Landed Properties,NA,"3,800",50 to 60,500 to 600,Apr-26
PARC PALAIS,HUME AVENUE,21,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Apr-26
SPRINGDALE CONDOMINIUM,HINDHEDE WALK,21,Non-Landed Properties,4,"5,000",120 to 130,"1,300 to 1,400",Apr-26
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,2,"4,400",50 to 60,500 to 600,Apr-26
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,10,Non-Landed Properties,2,"5,400",60 to 70,600 to 700,Apr-26
PICCADILLY GRAND,NORTHUMBERLAND ROAD,08,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Apr-26
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"4,200",40 to 50,500 to 600,Apr-26
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,2,"3,600",50 to 60,500 to 600,Apr-26
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,3,"6,200",80 to 90,"900 to 1,000",Apr-26
KOPAR AT NEWTON,MAKEWAY AVENUE,09,Non-Landed Properties,1,"3,900",40 to 50,500 to 600,Apr-26
28 RC SUITES,RACE COURSE LANE,08,Non-Landed Properties,1,"3,700",30 to 40,400 to 500,Apr-26
SKY@ELEVEN,THOMSON LANE,11,Non-Landed Properties,4,"14,500",260 to 270,"2,800 to 2,900",Apr-26
AURALIS,EAST COAST ROAD,15,Non-Landed Properties,3,"5,100",120 to 130,"1,300 to 1,400",Apr-26
CORONATION GROVE,CORONATION ROAD,10,Non-Landed Properties,2,"6,100",170 to 180,"1,900 to 2,000",Apr-26
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"3,900",40 to 50,500 to 600,Apr-26
PARC KOMO,UPPER CHANGI ROAD NORTH,17,Non-Landed Properties,2,"3,000",50 to 60,600 to 700,Apr-26
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,1,"4,200",40 to 50,500 to 600,Apr-26
COTE D'AZUR,MARINE PARADE ROAD,15,Non-Landed Properties,3,"5,900",120 to 130,"1,300 to 1,400",Apr-26
THE SHORE RESIDENCES,AMBER ROAD,15,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Apr-26
EAST MEADOWS,TANAH MERAH KECHIL ROAD,16,Non-Landed Properties,3,"4,700",120 to 130,"1,300 to 1,400",Apr-26
HEDGES PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Apr-26
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Apr-26
LEONG HIN BUILDING,BALESTIER ROAD,12,Non-Landed Properties,NA,"3,400",110 to 120,"1,200 to 1,300",Apr-26
LAKEVIEW ESTATE,UPPER THOMSON ROAD,20,Non-Landed Properties,NA,"4,500",140 to 150,"1,500 to 1,600",Apr-26
THE MIDAS,LORONG 30 GEYLANG,14,Non-Landed Properties,3,"4,500",100 to 110,"1,000 to 1,100",Apr-26
MAYFAIR GARDENS,RIFLE RANGE ROAD,21,Non-Landed Properties,1,"3,650",50 to 60,500 to 600,Apr-26
SEASTRAND,PASIR RIS LINK,18,Non-Landed Properties,2,"3,400",80 to 90,800 to 900,Apr-26
THE LANDMARK,CHIN SWEE ROAD,03,Non-Landed Properties,2,"5,300",70 to 80,700 to 800,Apr-26
JERVOIS JADE,JERVOIS CLOSE,10,Non-Landed Properties,3,"6,200",130 to 140,"1,400 to 1,500",Apr-26
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,2,"4,150",50 to 60,500 to 600,Apr-26
PALM OASIS,LORONG H TELOK KURAU,15,Non-Landed Properties,2,"3,850",70 to 80,700 to 800,Apr-26
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"4,300",40 to 50,500 to 600,Apr-26
THE LAKESHORE,JURONG WEST STREET 41,22,Non-Landed Properties,2,"5,050",80 to 90,"900 to 1,000",Apr-26
